,Name,Rating,Number of Ratings,Price,Region,Winery,Wine style,Alcohol content,Grapes,Food pairings,Bold,Tannin,Sweet,Acidic
27,Albarino 2021,4.0,286,18.99,Spain / Galicia / Rías Baixas,La Caña,Spanish Albariño,13.5,100 Albariño,"['Pasta', 'Shellfish', 'Vegetarian', 'Appetizers and snacks', 'Lean fish']",2.74,46.29526972,59.54,57.93
28,Ama 2019,4.2,27,38.99,Spain / País Vasco / Bizkaiko Txakolina,Gorka Izagirre,,13.79454297,,[],61.73,46.29526972,9.05,53.555
29,Camins del Priorat 2020,4.1,2244,24.99,Spain / Catalunya / Priorat,Álvaro Palacios,Spanish Priorat Red,14.5,100 Garnacha,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",83.68,47.91,9.56,53.7
30,Albariño 2018,4.2,77,29.05,Spain / Galicia / Rías Baixas,Compañía de Vinos Tricó,Spanish Albariño,13.79454297,,"['Pasta', 'Shellfish', 'Vegetarian', 'Appetizers and snacks', 'Lean fish']",14.97,46.29526972,37.67,59.95
31,No. 2 Victoria 2015,4.3,523,29.99,Spain / Andalucía / Málaga,Jorge Ordóñez,,13.79454297,,[],61.73,46.29526972,9.05,53.555
32,Gago G 2017,3.8,89,24.99,Spain / Castilla y León / Toro,Telmo Rodriguez,Spanish Toro Red,14.5,100 Tinta de toro,"['Beef', 'Lamb', 'Game (deer, venison)']",76.55,52.9,8.8,34.65
33,Time Waits For No One (Red label) 2017,3.8,3070,16.99,Spain / Murcia / Jumilla,Finca Bacara,Spanish Monastrell,15.0,100 Monastrell,"['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",59.01,68.06,10.94,54.05
34,PSI 2014,4.1,5112,39.99,Spain / Castilla y León / Ribera del Duero,Dominio de Pingus,Spanish Ribera Del Duero Red,14.5,100 Tempranillo,"['Beef', 'Lamb', 'Game (deer, venison)']",63.99,56.13,9.12,60.4
35,Rioja Crianza 2017,4.0,2402,16.99,Spain / Rioja,Carlos Serres,Spanish Rioja Red,13.5,100 Tempranillo,"['Beef', 'Lamb', 'Veal', 'Poultry']",56.61,58.48,10.71,57.27
36,Mirabrás 2017,3.9,145,42.85,Spain / Andalucía / Cádiz,Barbadillo,,13.79454297,,[],61.73,46.29526972,9.05,53.555
37,Flor de Morca 2019,4.0,832,16.99,Spain / Aragón / Campo de Borja,Morca,Spanish Grenache,15.5,100 Garnacha,"['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)', 'Poultry']",71.26,46.08,20.39,45.05
38,Garnacha 2015,3.8,31,16.99,Spain / Rioja,Ramon Cardova,Spanish Rioja Red,13.79454297,,"['Beef', 'Lamb', 'Veal', 'Poultry']",69.2,70.46,9.05,63.68
39,Parcelas en Altura Ribera del Duero 2018,3.8,178,24.99,Spain / Castilla y León / Ribera del Duero,Rolland & Galarreta 'R&G',Spanish Ribera Del Duero Red,13.79454297,,"['Beef', 'Lamb', 'Game (deer, venison)']",64.54,57.51,9.46,58.54
40,Reserva Rioja (Finca Ygay) 2015,4.1,10034,25.99,Spain / Rioja,Marqués de Murrieta,Spanish Rioja Red,14.0,100 Tempranillo,"['Beef', 'Lamb', 'Veal', 'Poultry']",63.99,59.42,9.16,60.24
41,No. 1 Red Sangria Frizzante N.V.,4.1,2067,18.99,Spain / Aragón,Lolea,Spanish Sparkling,7.0,"Tempranillo, Cabernet Sauvignon","['Shellfish', 'Appetizers and snacks', 'Lean fish', 'Aperitif']",40.22,46.29526972,9.05,46.12
42,Atteca Garnacha (Old Vines) 2019,4.0,290,15.99,Spain / Aragón / Calatayud,Bodegas Ateca,Spanish Grenache,15.0,100 Garnacha,"['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,40.56,10.81,43.68
43,Albacea Monastrell Jumilla 2020,4.1,57,14.99,Spain / Murcia / Jumilla,Juan Gil,Spanish Monastrell,13.79454297,,"['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",58.64,68.38,12.8,52.55
44,Reserva 2011,4.2,68,24.99,Spain / Rioja,Eduardo Garrido Garcia,Spanish Rioja Red,13.79454297,,"['Beef', 'Lamb', 'Veal', 'Poultry']",67.71,53.24,6.25,54.86
45,UBE de Ubérrima Miraflores 2020,4.0,274,32.0,Spain / Vino de España,Cota 45,,13.79454297,,[],61.73,46.29526972,9.05,53.555
46,PSI 2019,4.2,2628,34.99,Spain / Castilla y León / Ribera del Duero,Dominio de Pingus,Spanish Ribera Del Duero Red,14.0,100 Tempranillo,"['Beef', 'Lamb', 'Game (deer, venison)']",63.99,56.13,9.12,60.4
47,Lacrimus 2009,3.8,62,21.99,Spain / Rioja,Miura,Spanish Rioja Red,13.79454297,,"['Beef', 'Lamb', 'Veal', 'Poultry']",65.14,74.47,9.05,60.71
48,Character Medium Dry Amontillado Sherry N.V.,3.8,138,16.99,Spain / Andalucía / Jerez-Xérès-Sherry / Amontillado Sherry,Sandeman,Spanish Sherry,17.5,100 Pedro Ximenez,"['Mature and hard cheese', 'Appetizers and snacks', 'Aperitif', 'Cured Meat']",65.28,46.29526972,68.51,64.91
49,Viña Alberdi Reserva 2016,4.2,5196,20.99,Spain / Rioja,La Rioja Alta,Spanish Rioja Red,13.5,100 Tempranillo,"['Beef', 'Lamb', 'Veal', 'Poultry']",64.22,60.13,6.09,61.46
50,Almiréz 2007,3.9,104,29.99,Spain / Castilla y León / Toro,Teso La Monja,Spanish Toro Red,14.5,Tinta de toro,"['Beef', 'Lamb', 'Game (deer, venison)']",76.61,53.11,9.37,35.83
51,Rioja Reserva 2015,4.0,509,28.99,Spain / Rioja,Torre de Oña,Spanish Rioja Red,14.5,100 Tempranillo,"['Beef', 'Lamb', 'Veal', 'Poultry']",62.94,62.05,8.68,61.61
52,Rioja Reserva 2016,3.8,127,15.99,Spain / Rioja,Muriel,Spanish Rioja Red,14.5,100 Tempranillo,"['Beef', 'Lamb', 'Veal', 'Poultry']",64.57,60.81,5.45,63.23
53,Crianza 2018,3.8,68,35.99,Spain / Castilla y León / Ribera del Duero,Trus,Spanish Ribera Del Duero Red,14.5,100 Tempranillo,"['Beef', 'Lamb', 'Game (deer, venison)']",62.78,52.03,12.25,58.99
54,Crianza Tinto 2017,4.2,3405,37.16,Spain / Castilla y León / Ribera del Duero,Pago de Los Capellanes,Spanish Ribera Del Duero Red,14.5,100 Tempranillo,"['Beef', 'Lamb', 'Game (deer, venison)']",64.36,54.31,12.53,59.53
55,VO CAL 2017,3.9,107,39.0,Spain / Castilla y León / Bierzo,Veronica Ortega,,13.79454297,,[],61.73,46.29526972,9.05,53.555
56,Garnacha 2016,4.0,147,24.99,Spain / Rioja,Tobelos,Spanish Rioja Red,14.0,100 Garnacha,"['Beef', 'Lamb', 'Veal', 'Poultry']",63.39,63.69,16.0,60.54
57,Vi de Vila Blanco 2019,3.9,38,37.99,Spain / Catalunya / Priorat,Cims de Porrera,,13.79454297,,[],61.73,46.29526972,9.05,53.555
58,AGNVS Crianza Tempranillo 2016,4.0,90,15.95,Spain / Rioja,Bodegas Valdelana,Spanish Rioja Red,14.0,100 Tempranillo,"['Beef', 'Lamb', 'Veal', 'Poultry']",62.28,65.28,9.84,57.17
59,Muga Rosado 2021,3.9,433,19.99,Spain / Rioja,Muga,,13.79454297,,[],61.73,46.29526972,9.05,53.555
60,Pena do Lobo 2015,3.9,48,26.99,Spain / Galicia / Ribeira Sacra,Bodega Losada Fernandez,Spanish Mencia,12.5,100 Mencia,"['Veal', 'Game (deer, venison)', 'Poultry']",54.36,39.86,5.22,61.23
61,Igrexario de Saiar Albariño 2019,4.0,63,17.5,Spain / Galicia / Rías Baixas,Benito Santos,Spanish Albariño,13.79454297,,"['Pasta', 'Shellfish', 'Vegetarian', 'Appetizers and snacks', 'Lean fish']",4.34,46.29526972,54.79,57.27
62,Finca Rosalejo Eldoze Single Vineyard 2014,4.0,26,33.99,Spain / Castilla / La Mancha,Rolland & Galarreta 'R&G',Spanish Syrah,13.79454297,,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",71.95,52.0,6.05,52.56
63,Palo Cortado Península Jerez-Xérès-Sherry Seco-Dry N.V.,4.0,1045,25.99,Spain / Andalucía / Jerez-Xérès-Sherry,Lustau,Spanish Sherry,19.0,Palomino,"['Mature and hard cheese', 'Appetizers and snacks', 'Aperitif', 'Cured Meat']",64.6,46.29526972,37.95,61.93
64,Blanc Selecció 2020,4.0,223,18.99,Spain / Catalunya / Penedès,Huguet de Can Feixes,,13.79454297,,[],61.73,46.29526972,9.05,53.555
65,Rioja Blanco 2019,4.0,391,23.99,Spain / Rioja / Rioja Alavesa,Ostatu,Spanish Rioja White,13.0,"Malvasia, Viura","['Shellfish', 'Appetizers and snacks', 'Lean fish', 'Cured Meat']",75.82,46.29526972,10.39,54.29
66,Porrera (Vi di la Vila) 2018,4.2,32,24.99,Spain / Catalunya / Priorat,Black Slate,Spanish Priorat Red,15.0,100 Grenache,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,48.92,6.39,54.17
67,Granbazán Etiqueta Verde Albariño 2020,3.9,976,25.99,Spain / Galicia / Rías Baixas,Agro de Bazán,Spanish Albariño,13.0,100 Albariño,"['Pasta', 'Shellfish', 'Vegetarian', 'Appetizers and snacks', 'Lean fish']",10.22,46.29526972,42.96,60.73
68,Castroviejo Gran Reserva 2016,4.4,57,24.99,Spain / Rioja,Pastor Diaz,Spanish Rioja Red,13.79454297,,"['Beef', 'Lamb', 'Veal', 'Poultry']",39.4,72.09,12.76,55.99
69,Sarada Calizo 2019,3.9,66,15.17,Spain / Castilla / Almansa,Venta La Vega - Bodegas Almanseñas,Spanish Red,13.79454297,,"['Beef', 'Pasta', 'Veal', 'Poultry']",63.44,38.0,2.9,42.36
70,4R Cuatro Rayas Verdejo 2019,3.8,679,14.99,Spain / Castilla y León / Rueda,Cuatro Rayas,Spanish Verdejo,13.79454297,,[],61.73,46.29526972,9.05,53.555
71,Atteca Garnacha (Old Vines) 2018,4.0,590,15.99,Spain / Aragón / Calatayud,Bodegas Ateca,Spanish Grenache,15.0,100 Grenache,"['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,40.56,10.81,43.68
72,Finca Meixeman Ribeira Sacra Mencia 2014,3.8,494,39.99,Spain / Galicia / Ribeira Sacra,Guimaro,Spanish Mencia,13.79454297,,"['Veal', 'Game (deer, venison)', 'Poultry']",51.46,41.99,3.23,65.15
73,Via Edetana Blanca 2019,3.8,99,24.99,Spain / Catalunya / Terra Alta,Edetària,,13.79454297,,[],61.73,46.29526972,9.05,53.555
74,E (Spain) N.V.,3.9,9082,19.99,Spain / Vino de España,Locations,Spanish Red,14.5,100 Grenache,"['Beef', 'Pasta', 'Veal', 'Poultry']",68.27,37.58,7.62,43.94
75,Ribera del Duero Crianza 2011,3.8,1537,19.99,Spain / Castilla y León / Ribera del Duero,Legaris,Spanish Ribera Del Duero Red,14.5,100 Tempranillo,"['Beef', 'Lamb', 'Game (deer, venison)']",66.18,56.97,13.07,61.48
76,Rosé (Grenache - Cabernet Sauvignon) 2020,4.1,26,12.5,Spain / Aragón / Campo de Borja,Los Dos,,13.79454297,,[],61.73,46.29526972,9.05,53.555
77,Mucho Más Tinto N.V.,4.2,40271,14.99,Spain / Vino de España,Félix Solís,Spanish Red,14.0,"Shiraz/Syrah, Tempranillo","['Beef', 'Pasta', 'Veal', 'Poultry']",63.0,38.75,33.21,33.01
78,Martinsancho Verdejo Rueda 2015,3.8,184,17.99,Spain / Castilla y León / Rueda,Angel Rodriguez,Spanish Verdejo,13.0,100 Verdejo,"['Pork', 'Shellfish', 'Vegetarian', 'Cured Meat']",21.81,46.29526972,23.78,53.57
79,Escobal 2018,3.8,115,24.0,Spain / Rioja / Rioja Alavesa,Ostatu,Spanish Rioja Red,13.79454297,,"['Beef', 'Lamb', 'Veal', 'Poultry']",53.21,57.26,27.41,53.22
80,Goru Gold 2017,3.8,3716,10.65,Spain / Murcia / Jumilla,EGO,Spanish Red,14.5,100 Monastrell,"['Beef', 'Pasta', 'Veal', 'Poultry']",67.43,42.27,6.53,46.59
81,Entresuelos Tempranillo 2017,3.8,589,16.99,Spain / Castilla y León,Tridente,Spanish Tempranillo,14.0,100 Tempranillo,"['Beef', 'Lamb', 'Veal', 'Poultry']",77.34,59.88,6.3,37.49
82,Albariño Rías Baixas 2020,3.8,75,19.99,Spain / Galicia / Rías Baixas,Lagar Da Condesa,Spanish Albariño,12.5,100 Albariño,"['Pasta', 'Shellfish', 'Vegetarian', 'Appetizers and snacks', 'Lean fish']",13.59,46.29526972,43.42,59.31
83,Blanco 2021,4.0,170,28.99,Spain / País Vasco / Getariako Txakolina,Ameztoi,,13.79454297,,[],61.73,46.29526972,9.05,53.555
84,Donzella 2016,3.9,26,15.99,Spain / Catalunya / Penedès,Suriol,,13.79454297,,[],61.73,46.29526972,9.05,53.555
85,Jumilla Blue Label 2020,4.3,116,30.98,Spain / Murcia / Jumilla,Juan Gil,Spanish Monastrell,15.0,100 Mourvedre,"['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",67.61,50.21,18.19,46.0
86,Ribera del Duero Tinto 2009,3.9,1910,10.99,Spain / Castilla y León / Ribera del Duero,Cepa 21,Spanish Ribera Del Duero Red,14.0,100 Tempranillo,"['Beef', 'Lamb', 'Game (deer, venison)']",64.2,56.78,13.11,60.84
87,Palacio Quemado La Zarcita 2018,3.8,252,18.0,Spain / Extremadura,Alvear,Spanish Red,14.0,"Shiraz/Syrah, Cabernet Sauvignon, Tempranillo","['Beef', 'Pasta', 'Veal', 'Poultry']",66.91,43.94,9.86,47.34
88,Cava Vintage Brut 2019,3.8,110,16.99,Spain / Cava,Naveran,Spanish Cava,13.79454297,,"['Shellfish', 'Appetizers and snacks', 'Lean fish', 'Aperitif', 'Cured Meat']",45.06,46.29526972,9.05,58.01
89,Mart Xarel-lo Vermell 2020,4.0,241,26.0,Spain / Catalunya / Penedès,Gramona,,13.79454297,,[],61.73,46.29526972,9.05,53.555
90,Pirámide Crianza 2017,4.4,38,29.99,Spain / Castilla y León / Ribera del Duero,Bodegas Montegaredo,Spanish Ribera Del Duero Red,13.79454297,,"['Beef', 'Lamb', 'Game (deer, venison)']",67.5,63.38,9.05,65.17
91,La Vitoriana (Lomas de Valtuille) 2014,4.1,84,44.99,Spain / Castilla y León / Bierzo,La Vizcaína,Spanish Mencia,13.79454297,,"['Veal', 'Game (deer, venison)', 'Poultry']",54.07,43.61,4.61,66.76
92,La Atalaya del Camino 2019,4.2,1382,16.98,Spain / Castilla / Almansa,Atalaya,Spanish Red,14.5,"85 Garnacha Tintorera, 15 Monastrell",[],61.73,46.29526972,9.05,53.555
93,Gran Reserva Ribera del Duero 2014,4.0,429,27.99,Spain / Castilla y León / Ribera del Duero,Condado de Oriza,Spanish Ribera Del Duero Red,14.0,Tempranillo,"['Beef', 'Lamb', 'Game (deer, venison)']",61.83,58.39,9.1,61.01
94,Selección La Aguilera 2016,4.2,740,24.99,Spain / Castilla y León / Ribera del Duero,Dominio de Cair,Spanish Ribera Del Duero Red,14.0,Tempranillo,"['Beef', 'Lamb', 'Game (deer, venison)']",59.69,62.91,16.04,58.39
95,Mucho Mas Rosado N.V.,3.8,503,12.99,Spain / Vino de España,Félix Solís,,13.79454297,,[],61.73,46.29526972,9.05,53.555
96,Gran Reserva Rioja 2012,3.9,501,30.36,Spain / Rioja,Viña Bujanda,Spanish Rioja Red,13.79454297,,"['Beef', 'Lamb', 'Veal', 'Poultry']",63.34,57.68,6.3,59.68
97,Atalayas de Golbán Ribera del Duero Crianza 2016,3.8,183,19.98,Spain / Castilla y León / Ribera del Duero,Dominio de Atauta,Spanish Ribera Del Duero Red,14.5,100 Tinto Fino,"['Beef', 'Lamb', 'Game (deer, venison)']",65.08,56.5,18.34,58.47
98,Granbazán Albariño Etiqueta Ámbar 2021,4.1,326,28.99,Spain / Galicia / Rías Baixas,Agro de Bazán,Spanish Albariño,12.5,100 Albariño,"['Pasta', 'Shellfish', 'Vegetarian', 'Appetizers and snacks', 'Lean fish']",10.98,46.29526972,46.32,58.18
99,Jumilla Yellow Label 2019,3.8,1906,19.99,Spain / Murcia / Jumilla,Juan Gil,Spanish Monastrell,14.5,100 Monastrell,"['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",58.26,67.77,14.54,54.02
100,Viñas del lago 2018,3.9,100,25.99,Spain / Castilla y León / Ribera del Duero,Marta Mate,Spanish Ribera Del Duero Red,13.5,"88 Tempranillo, 7 Garnacha, 5 Albillo","['Beef', 'Lamb', 'Game (deer, venison)']",49.81,51.58,29.65,53.02
101,Rias Baixas Albariño 2015,4.0,715,26.95,Spain / Galicia / Rías Baixas,Do Ferreiro (Bodegas Gerardo Mendez),Spanish Albariño,13.79454297,,"['Pasta', 'Shellfish', 'Vegetarian', 'Appetizers and snacks', 'Lean fish']",12.93,46.29526972,40.3,60.7
102,G22 Blanc 2019,3.9,221,19.99,Spain / País Vasco / Bizkaiko Txakolina,Gorka Izagirre,,13.79454297,,[],61.73,46.29526972,9.05,53.555
103,Pétalos 2020,4.0,805,22.99,Spain / Castilla y León / Bierzo,Descendientes de J. Palacios,Spanish Mencia,14.1,100 Mencia,"['Veal', 'Game (deer, venison)', 'Poultry']",53.03,41.87,5.33,64.64
104,Single Vineyard Tempranillo 2019,4.0,330,18.14,Spain / Castilla / La Mancha,Volver,Spanish Tempranillo,14.5,100 Tempranillo,"['Beef', 'Lamb', 'Veal', 'Poultry']",75.69,53.61,8.4,36.98
105,Crianza 2016,3.9,602,17.37,Spain / Rioja,Proelio,Spanish Rioja Red,14.0,100 Tempranillo,"['Beef', 'Lamb', 'Veal', 'Poultry']",59.77,59.85,13.01,57.3
106,Única Reserva 2016,4.0,287,29.99,Spain / Rioja,Sierra Cantabria,Spanish Rioja Red,14.5,100 Tempranillo,"['Beef', 'Lamb', 'Veal', 'Poultry']",64.85,62.07,7.64,61.87
107,Kentia Albariño 2020,3.8,102,17.99,Spain / Galicia / Rías Baixas,Orowines,Spanish Albariño,13.0,100 Albariño,"['Pasta', 'Shellfish', 'Vegetarian', 'Appetizers and snacks', 'Lean fish']",7.0,46.29526972,49.61,59.65
108,Crianza Rioja 2017,3.8,2378,17.99,Spain / Rioja,Lan,Spanish Rioja Red,13.5,100 Tempranillo,"['Beef', 'Lamb', 'Veal', 'Poultry']",61.47,61.5,8.27,61.21
109,Goru Gold 2017,3.8,3716,10.65,Spain / Murcia / Jumilla,EGO,Spanish Red,14.5,100 Monastrell,"['Beef', 'Pasta', 'Veal', 'Poultry']",67.43,42.27,6.53,46.59
110,Emilín Moscatel Sherry (Solera Reserva) N.V.,4.0,835,27.99,Spain / Andalucía / Jerez-Xérès-Sherry,Lustau,Spanish Sherry,17.0,100 Muscat of Alexandria,"['Mature and hard cheese', 'Appetizers and snacks', 'Aperitif', 'Cured Meat']",69.7,46.29526972,73.28,62.01
111,Pampaneo Airén Natural 2020,3.9,94,20.83,Spain / Castilla / La Mancha,Bodega Bruno Ruiz - Esencia Rural,,13.79454297,,[],61.73,46.29526972,9.05,53.555
112,Gulp Hablo Verdejo 2020,3.8,166,22.99,Spain / Castilla / La Mancha,Bodegas Ponce,Spanish Verdejo,13.79454297,,"['Pork', 'Shellfish', 'Vegetarian', 'Cured Meat']",18.38,46.29526972,21.86,53.61
113,Carrasviñas Rueda Verdejo 2020,3.9,511,18.33,Spain / Castilla y León / Rueda,Bodegas Félix Lorenzo Cachazo,Spanish Verdejo,13.2,100 Verdejo,"['Pork', 'Shellfish', 'Vegetarian', 'Cured Meat']",27.42,46.29526972,22.0,50.48
114,Castroviejo Reserva 2016,4.3,141,19.99,Spain / Rioja,Pastor Diaz,Spanish Rioja Red,13.5,"Tempranillo, Graciano","['Beef', 'Lamb', 'Veal', 'Poultry']",65.28,62.8,5.01,62.05
115,Casamaro Verdejo 2020,3.8,183,18.99,Spain / Castilla y León / Rueda,Garciarevalo,Spanish Verdejo,12.5,100 Verdejo,"['Pork', 'Shellfish', 'Vegetarian', 'Cured Meat']",17.59,46.29526972,22.89,51.02
116,Albariño 2021,3.8,103,15.74,Spain / Galicia / Rías Baixas,Viña Nora,Spanish Albariño,13.0,100 Albariño,"['Pasta', 'Shellfish', 'Vegetarian', 'Appetizers and snacks', 'Lean fish']",6.8,46.29526972,54.08,55.82
117,Tempranillo 2019,3.9,64,15.99,Spain / Rioja,Larchago,Spanish Rioja Red,13.79454297,,"['Beef', 'Lamb', 'Veal', 'Poultry']",63.04,59.87,0.57,59.53
118,12 Linajes Crianza 2014,3.9,350,24.99,Spain / Castilla y León / Ribera del Duero,Bodegas Gormaz,Spanish Ribera Del Duero Red,14.5,100 Tempranillo,"['Beef', 'Lamb', 'Game (deer, venison)']",66.24,56.64,7.52,62.29
119,Pies Negros Rioja 2018,3.8,780,19.5,Spain / Rioja,Artuke,Spanish Rioja Red,14.0,"90 Tempranillo, 10 Graciano","['Beef', 'Lamb', 'Veal', 'Poultry']",60.91,61.02,8.52,57.63
120,Tinto 2012,3.8,81,30.61,Spain / Catalunya / Priorat,Terres de Vidalba,Spanish Priorat Red,13.79454297,,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",82.31,61.48,3.67,60.83
