,Name,Rating,Number of Ratings,Price,Region,Winery,Wine style,Alcohol content,Grapes,Food pairings,Bold,Tannin,Sweet,Acidic
13,Pét Nat 2021,4.1,66,27.99,United States / California / Central Coast / San Luis Obispo County / Arroyo Grande Valley,Field Recordings,Californian Sparkling,10.9,Cabernet Franc,"['Shellfish', 'Appetizers and snacks', 'Lean fish', 'Aperitif']",63.68,46.29526972,9.05,54.98
14,Riva Ranch Chardonnay 2021,4.0,85,18.14,United States / California / Central Coast / Monterey County / Arroyo Seco,Wente Vineyards,Californian Chardonnay,13.5,100 Chardonnay,"['Pork', 'Rich fish (salmon, tuna etc)', 'Vegetarian', 'Poultry']",85.0,46.29526972,35.68,45.25
15,Riesling 2018,3.8,3119,13.99,United States / Washington / Columbia Valley,Chateau Ste. Michelle,Washington State Riesling,11.5,100 Riesling,"['Pork', 'Shellfish', 'Spicy food', 'Poultry', 'Cured Meat']",41.83,46.29526972,21.9,67.06
16,Tower Road Petite Sirah 2018,3.9,142,24.99,United States / California / Central Coast / San Luis Obispo County / Paso Robles,J. Lohr Vineyards & Wines,Californian Petite Sirah,15.5,100 Petite Sirah,"['Beef', 'Lamb', 'Game (deer, venison)']",80.15,72.12,9.62,54.06
17,Prospectors' Proof Cabernet Sauvignon 2020,4.0,107,19.99,United States / California,1000 Stories,Californian Cabernet Sauvignon,13.79454297,,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",81.91,46.22,16.75,41.56
18,Estate Sta. Rita Hills Syrah 2018,3.9,162,34.94,United States / California / Central Coast / Santa Barbara County / Sta. Rita Hills,Melville,Californian Syrah,13.9,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",74.44,58.43,4.46,48.09
19,Sonoma Reserve Cabernet Sauvignon 2016,4.0,39,14.99,United States / California / North Coast / Sonoma County / Alexander Valley,Clos du Bois,Californian Cabernet Sauvignon,13.79454297,,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,54.63,2.35,43.0
20,Signature Series Nicole Marie Red Blend 2018,4.0,301,17.99,United States / California / North Coast,Sean Minor,Californian Red Blend,14.5,"Merlot, Zinfandel, Petite Sirah","['Beef', 'Lamb', 'Veal', 'Poultry']",84.17,48.53,8.63,61.58
21,Russian River Selection Pinot Noir 2007,4.3,87,44.99,United States / California / North Coast / Sonoma County / Russian River Valley,Gary Farrell,Californian Pinot Noir,13.79454297,,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",41.91,20.35,4.88,56.56
22,Inkblot Petit Verdot 2019,4.1,29,34.99,United States / California / Central Valley / Lodi,Michael David Winery,,13.79454297,,[],61.73,46.29526972,9.05,53.555
23,Brut Rosé Mirabelle N.V.,4.0,2040,31.99,United States / California,Schramsberg,Californian Sparkling,12.8,"Chardonnay, Pinot Noir","['Shellfish', 'Appetizers and snacks', 'Lean fish', 'Aperitif']",64.3,46.29526972,9.05,50.97
24,Bourbon Barrel Cabernet Sauvignon 2020,4.0,121,14.99,United States / California,Ménage à Trois,Californian Cabernet Sauvignon,14.6,100 Cabernet Sauvignon,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",84.13,50.43,15.95,40.58
25,Vintner's Reserve Chardonnay 2021,3.9,74,18.99,United States / California,Kendall-Jackson,Californian Chardonnay,13.79454297,,"['Pork', 'Rich fish (salmon, tuna etc)', 'Vegetarian', 'Poultry']",85.0,46.29526972,37.5,45.42
26,Pinot Noir (Murmur Vineyard) 2014,3.9,57,34.98,United States / California / Central Coast / Santa Barbara County / Santa Maria Valley,Stasis,Californian Pinot Noir,14.5,100 Pinot Noir,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",46.25,19.56,5.98,53.04
27,The Dude Red 2019,4.1,148,35.99,United States / California / North Coast / Napa County / Napa Valley,Canepa Koch,Napa Valley Bordeaux Blend,13.79454297,,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,56.01,2.63,64.33
28,Winemaker's Cuvée Pinot Noir 2019,3.8,169,14.99,United States / Oregon / Willamette Valley,Panther Creek,Oregon Pinot Noir,13.1,100 Pinot Noir,[],61.73,46.29526972,9.05,53.555
29,Saldo Red Blend 2019,3.9,420,30.98,United States / California,The Prisoner,Californian Red Blend,15.0,"Shiraz/Syrah, Cabernet Sauvignon, Zinfandel, Petite Sirah","['Beef', 'Lamb', 'Veal', 'Poultry']",85.0,57.43,10.2,62.88
30,Whole Cluster Pinot Noir 2021,4.0,588,20.28,United States / Oregon / Willamette Valley,Willamette Valley Vineyards,Oregon Pinot Noir,13.8,100 Pinot Noir,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",22.33,19.25,7.59,64.04
31,The Fabric of The Land 2020,4.1,111,39.99,United States / California / North Coast / Napa County / Napa Valley,Quilt,Californian Red Blend,13.79454297,,[],61.73,46.29526972,9.05,53.555
32,California Butter Chardonnay 2020,3.8,677,15.99,United States / California,JaM Cellars,Californian Chardonnay,14.8,100 Chardonnay,"['Pork', 'Rich fish (salmon, tuna etc)', 'Vegetarian', 'Poultry']",85.0,46.29526972,40.01,44.69
33,Cuvée M N.V.,3.9,2768,18.99,United States / California / North Coast / Napa County / Napa Valley,Mumm Napa,Californian Sparkling,12.5,"48 Chardonnay, 43 Pinot Noir, 6 Pinot Grigio, 3 Pinot Meunier","['Shellfish', 'Appetizers and snacks', 'Lean fish', 'Aperitif']",62.41,46.29526972,9.05,44.28
34,Pelissa Vineyard Zinfandel 2020,4.3,48,31.94,United States / California / North Coast / Napa County / Napa Valley / Oakville,Ghost Block,Californian Zinfandel,14.5,100 Zinfandel,"['Beef', 'Lamb', 'Poultry']",85.0,29.2,28.66,16.29
35,Cabernet Sauvignon (815) 2019,3.9,2699,13.99,United States / California,Joel Gott,Californian Cabernet Sauvignon,13.9,100 Cabernet Sauvignon,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,49.75,8.16,43.04
36,Diamond Collection Chardonnay 2017,3.8,1832,11.99,United States / California / Central Coast / Monterey County,Francis Ford Coppola Winery,Californian Chardonnay,13.5,100 Chardonnay,"['Pork', 'Rich fish (salmon, tuna etc)', 'Vegetarian', 'Poultry']",85.0,46.29526972,35.19,45.97
37,Santa Lucia Highlands Pinot Noir 2019,3.9,52,26.99,United States / California / Central Coast / Monterey County / Santa Lucia Highlands,Sextant,Californian Pinot Noir,13.79454297,,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",41.41,21.38,3.43,53.45
38,Nevermore Pinot Noir 2013,3.8,250,29.99,United States / Oregon / Willamette Valley,Gothic,Oregon Pinot Noir,13.79454297,,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",21.75,23.37,0.23,67.18
39,Devil's Playground Cabernet Sauvignon 2018,4.2,55,21.99,United States / Washington / Columbia Valley / Horse Heaven Hills,Underground Wine Project,Washington State Cabernet Sauvignon,13.79454297,,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",69.71,65.27,4.84,64.56
40,Cuvée 20 Brut N.V.,4.0,1427,33.99,United States / California / North Coast / Sonoma County / Russian River Valley,J Vineyards,Californian Sparkling,12.5,"Pinot Noir, Chardonnay","['Shellfish', 'Appetizers and snacks', 'Lean fish', 'Aperitif']",62.37,46.29526972,9.05,51.55
41,Love Among the Ruins Grenache 2017,4.0,40,37.99,United States / California / Central Coast,Babcock,,13.79454297,,[],61.73,46.29526972,9.05,53.555
42,Mountain Zinfandel 2020,4.2,52,24.99,United States / California / Central Coast / San Luis Obispo County / Paso Robles,Opolo,Californian Zinfandel,13.79454297,,"['Beef', 'Lamb', 'Poultry']",85.0,28.76,36.66,11.1
43,Votre Santé Chardonnay 2014,3.8,340,14.99,United States / California,Francis Ford Coppola Winery,Californian Chardonnay,13.5,100 Chardonnay,"['Pork', 'Rich fish (salmon, tuna etc)', 'Vegetarian', 'Poultry']",85.0,46.29526972,40.3,44.32
44,Uncaged Cabernet Sauvignon 2020,3.8,327,16.0,United States / California / North Coast,Z.Alexander Brown,Californian Cabernet Sauvignon,14.5,100 Cabernet Sauvignon,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",83.91,48.86,7.15,43.19
45,Eaglepoint Ranch Counoise 2017,4.0,149,29.99,United States / California / North Coast / Mendocino County,Broc Cellars,,13.79454297,,[],61.73,46.29526972,9.05,53.555
46,Emmolo No. 3 Méthode Traditionnelle N.V.,3.9,33,34.99,United States / California,Emmolo,Californian Sparkling,13.79454297,,"['Shellfish', 'Appetizers and snacks', 'Lean fish', 'Aperitif']",56.87,46.29526972,9.05,55.7
47,Estate Pinot Noir 2020,4.0,209,38.99,United States / Oregon / Willamette Valley,Willamette Valley Vineyards,Oregon Pinot Noir,13.8,100 Pinot Noir,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",23.07,19.71,4.44,64.16
48,Family Classic Cabernet Sauvignon 2018,3.9,624,30.0,United States / California / North Coast,Raymond,Californian Cabernet Sauvignon,14.5,100 Cabernet Sauvignon,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",76.45,48.14,16.4,42.83
49,California Red 2019,3.8,176,14.99,United States / California,Lyeth,Californian Bordeaux Blend,13.79454297,,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,59.95,6.54,60.96
50,Sebella Chardonnay 2019,4.3,127,39.99,United States / California / North Coast / Sonoma County,Hanzell,Californian Chardonnay,13.9,100 Chardonnay,"['Pork', 'Rich fish (salmon, tuna etc)', 'Vegetarian', 'Poultry']",82.63,46.29526972,28.39,56.13
51,House of Brown Chardonnay 2018,4.1,160,19.99,United States / California / Central Valley,Brown Estate,Californian Chardonnay,13.5,100 Chardonnay,"['Pork', 'Rich fish (salmon, tuna etc)', 'Vegetarian', 'Poultry']",81.5,46.29526972,34.03,48.17
52,Pinot Noir Russian River Valley 2017,4.0,61,20.99,United States / California / North Coast / Sonoma County / Russian River Valley,Roth,Californian Pinot Noir,14.6,100 Pinot Noir,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",45.8,24.33,9.05,49.05
53,Mountain Select Chardonnay 2019,4.0,162,24.99,United States / California / North Coast / Napa County / Napa Valley,Antica,Napa Valley Chardonnay,14.0,100 Chardonnay,"['Pork', 'Rich fish (salmon, tuna etc)', 'Vegetarian', 'Poultry']",80.46,46.29526972,22.58,38.87
54,Cabernet Sauvignon (San Lucas) 2019,3.8,291,19.99,United States / California / Central Coast / Monterey County,Chloe,Californian Cabernet Sauvignon,14.5,100 Cabernet Sauvignon,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",83.69,54.25,4.5,46.35
55,Hilltop Cabernet Sauvignon 2020,4.1,148,28.84,United States / California / Central Coast / San Luis Obispo County / Paso Robles,J. Lohr Vineyards & Wines,Californian Cabernet Sauvignon,15.1,100 Cabernet Sauvignon,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,50.1,7.53,41.81
56,Estate Grown Chardonnay 2019,4.1,63,29.99,United States / California / North Coast / Napa County / Napa Valley / Los Carneros,Poseidon Vineyard,Napa Valley Chardonnay,14.2,100 Chardonnay,"['Pork', 'Rich fish (salmon, tuna etc)', 'Vegetarian', 'Poultry']",85.0,46.29526972,26.33,38.74
57,Napa Valley Estate Chardonnay 2019,4.0,459,27.99,United States / California / North Coast / Napa County / Napa Valley,The Hess Collection,Napa Valley Chardonnay,14.0,100 Chardonnay,"['Pork', 'Rich fish (salmon, tuna etc)', 'Vegetarian', 'Poultry']",85.0,46.29526972,25.77,38.22
58,Sir Real Cabernet Sauvignon 2020,3.9,203,19.99,United States / California / Central Coast / San Luis Obispo County / Paso Robles,Chronic,Californian Cabernet Sauvignon,14.3,100 Cabernet Sauvignon,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",82.65,52.28,13.16,44.0
59,Petite Sirah 2019,3.9,45,19.99,United States / California / North Coast / Sonoma County / Russian River Valley,Foppiano Vineyards,Californian Petite Sirah,13.79454297,,"['Beef', 'Lamb', 'Game (deer, venison)']",80.22,75.8,7.11,54.16
60,Diamond Collection Chardonnay 2019,3.8,416,17.99,United States / California / Central Coast / Monterey County,Francis Ford Coppola Winery,Californian Chardonnay,13.5,100 Chardonnay,"['Pork', 'Rich fish (salmon, tuna etc)', 'Vegetarian', 'Poultry']",85.0,46.29526972,35.19,45.97
61,Cuvée Sauvage Pinot Noir 2018,4.0,369,37.4,United States / California / North Coast / Sonoma County / Russian River Valley,Franciscan,Californian Pinot Noir,14.5,100 Pinot Noir,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",38.53,23.15,5.98,48.24
62,Gravel Bed Red 2016,3.8,406,39.99,United States / California / North Coast / Sonoma County,Sebastiani,Californian Red Blend,14.8,100 Cabernet Sauvignon,"['Beef', 'Lamb', 'Veal', 'Poultry']",85.0,52.45,11.74,62.38
63,El Dorado 'Twin Rivers' Zinfandel 2019,4.4,228,42.99,United States / California / Sierra Foothills / El Dorado County / El Dorado,Rombauer Vineyards,Californian Zinfandel,15.9,100 Zinfandel,"['Beef', 'Lamb', 'Poultry']",84.5,24.76,37.94,13.82
64,Merlot 2018,3.8,300,19.99,United States / California,Joel Gott,Californian Merlot,13.9,100 Merlot,"['Beef', 'Lamb', 'Veal']",64.54,19.75,19.05,16.8
65,Sonoma County Merlot 2019,4.0,2596,31.99,United States / California / North Coast / Sonoma County,Decoy,Californian Merlot,13.9,100 Merlot,"['Beef', 'Lamb', 'Veal']",64.96,20.94,17.11,14.18
66,The Riddler N.V.,4.0,1877,22.99,United States / California / North Coast / Napa County / Napa Valley,Stratton Lummis,Napa Valley Cabernet Sauvignon,15.2,100 Cabernet Sauvignon,"['Beef', 'Lamb', 'Game (deer, venison)', 'Mature and hard cheese', 'Poultry']",85.0,52.07,8.67,60.38
67,Sangiacomo Vineyard Chardonnay 2017,4.0,75,39.99,United States / California / North Coast / Napa County / Napa Valley / Los Carneros,Barnett,Napa Valley Chardonnay,13.79454297,,"['Pork', 'Rich fish (salmon, tuna etc)', 'Vegetarian', 'Poultry']",85.0,46.29526972,32.61,34.78
68,Cabernet Sauvignon (373 / 206) 2021,3.9,130,17.99,United States / California / Central Coast / San Luis Obispo County / Paso Robles,The Fableist,Californian Cabernet Sauvignon,13.79454297,,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,53.74,10.53,43.23
69,The Arborist Red Blend 2019,3.8,386,19.0,United States / California / Central Coast / San Luis Obispo County / Paso Robles,Vina Robles,Californian Red Blend,14.5,"Grenache, Mourvedre, Petite Sirah, Shiraz/Syrah","['Beef', 'Lamb', 'Veal', 'Poultry']",84.49,56.92,6.75,65.28
70,Wild Thing Old Vine Zinfandel 2019,4.0,94,18.99,United States / California / North Coast / Mendocino County,Carol Shelton,Californian Zinfandel,14.4,100 Zinfandel,"['Beef', 'Lamb', 'Poultry']",85.0,29.94,32.53,15.36
71,Phantom Chardonnay 2020,4.0,61,14.93,United States / California / Central Valley / Yolo County / Clarksburg,Bogle,Californian Chardonnay,13.79454297,,"['Pork', 'Rich fish (salmon, tuna etc)', 'Vegetarian', 'Poultry']",85.0,46.29526972,38.83,43.23
72,Estate Chardonnay 2019,4.1,39,31.99,United States / California / Central Coast / San Luis Obispo County / Arroyo Grande Valley,Talley Vineyards,Californian Chardonnay,13.8,100 Chardonnay,"['Pork', 'Rich fish (salmon, tuna etc)', 'Vegetarian', 'Poultry']",79.1,46.29526972,34.25,49.78
73,Chardonnay Hillview Vineyard 2018,3.9,216,29.94,United States / California / North Coast / Napa County / Napa Valley,Groth,Napa Valley Chardonnay,14.9,100 Chardonnay,"['Pork', 'Rich fish (salmon, tuna etc)', 'Vegetarian', 'Poultry']",85.0,46.29526972,23.35,41.9
74,Pinot Noir (Red Cap) 2018,3.8,498,19.99,United States / Oregon / Willamette Valley,Montinore Estate,Oregon Pinot Noir,13.9,100 Pinot Noir,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",21.95,23.33,1.66,65.37
75,Morgaenlee Vineyard Sauvignon Blanc 2019,4.0,43,28.0,United States / California / North Coast / Napa County / Napa Valley / Yountville,Ghost Block,Californian Sauvignon Blanc,13.5,100 Sauvignon Blanc,"['Shellfish', 'Vegetarian', 'Goat cheese']",41.0,46.29526972,9.05,69.68
76,KARIA Chardonnay 2019,4.2,978,34.99,United States / California / North Coast / Napa County / Napa Valley,Stag's Leap Wine Cellars,Napa Valley Chardonnay,14.5,100 Chardonnay,"['Pork', 'Rich fish (salmon, tuna etc)', 'Vegetarian', 'Poultry']",85.0,46.29526972,24.34,36.93
77,Reserve Selection Red 2018,4.2,125,34.99,United States / California / North Coast / Napa County / Napa Valley,Raymond,Californian Red Blend,13.79454297,,"['Beef', 'Lamb', 'Veal', 'Poultry']",82.56,52.8,0.73,66.51
78,Appellation Series Pinot Noir 2019,4.2,56,26.99,United States / California / North Coast / Sonoma County / Sonoma Coast,Eric Kent,Californian Pinot Noir,13.79454297,,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",40.99,25.69,12.56,52.33
79,Allomi Cabernet Sauvignon 2018,4.2,4383,36.0,United States / California / North Coast / Napa County / Napa Valley,The Hess Collection,Napa Valley Cabernet Sauvignon,14.5,100 Cabernet Sauvignon,"['Beef', 'Lamb', 'Game (deer, venison)', 'Mature and hard cheese', 'Poultry']",85.0,50.51,10.66,51.99
80,Heritage Reserve Merlot 2019,3.9,90,12.99,United States / California,DeLoach,Californian Merlot,13.5,100 Merlot,[],61.73,46.29526972,9.05,53.555
81,Pinot Noir 2017,3.8,366,27.99,United States / California / North Coast / Napa County / Napa Valley / Los Carneros,Artesa,Californian Pinot Noir,14.5,100 Pinot Noir,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",41.34,20.9,4.76,54.97
82,Reserve Pinot Noir 2015,4.2,111,24.99,United States / California / North Coast / Sonoma County / Russian River Valley,MacMurray,Californian Pinot Noir,14.4,100 Pinot Noir,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",44.74,24.14,1.4,57.12
83,C'est Si Bon (Naggiar Vineyard) 2019,4.3,42,29.99,United States / California / Sierra Foothills,Elyse,Californian Red Blend,13.79454297,,"['Beef', 'Lamb', 'Veal', 'Poultry']",84.85,53.54,5.15,58.75
84,Reserve Selection Red 2017,4.0,108,34.99,United States / California / North Coast / Napa County / Napa Valley,Raymond,Californian Red Blend,13.79454297,,"['Beef', 'Lamb', 'Veal', 'Poultry']",82.56,52.8,0.73,66.51
85,Sinister Hand 2019,4.0,351,29.0,United States / Washington / Columbia Valley,Owen Roe,Washington State Red Blend,14.1,"57 Shiraz/Syrah, 18 Grenache, 18 Mourvedre, 5 Marsanne, 2 Cinsault","['Beef', 'Pasta', 'Veal', 'Poultry']",65.08,54.07,5.35,63.99
86,Hilltop Cabernet Sauvignon 2018,4.2,1178,33.0,United States / California / Central Coast / San Luis Obispo County / Paso Robles,J. Lohr Vineyards & Wines,Californian Cabernet Sauvignon,15.1,100 Cabernet Sauvignon,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,50.1,7.53,41.81
87,Vin Gris de Cigare 2021,3.9,54,14.95,United States / California / Central Coast,Bonny Doon,Californian Rosé,13.5,Grenache,"['Shellfish', 'Spicy food', 'Appetizers and snacks', 'Fruity desserts', 'Aperitif']",61.73,46.29526972,9.05,53.555
88,Morning Fog Chardonnay 2021,3.9,251,13.86,United States / California / Central Coast / San Francisco Bay / Livermore Valley,Wente Vineyards,Californian Chardonnay,13.5,100 Chardonnay,"['Pork', 'Rich fish (salmon, tuna etc)', 'Vegetarian', 'Poultry']",84.62,46.29526972,34.63,46.47
89,Pillar & Post Cabernet Sauvignon 2018,4.2,98,29.99,United States / California / North Coast / Napa County / Napa Valley,Millworks,Napa Valley Cabernet Sauvignon,13.79454297,,"['Beef', 'Lamb', 'Game (deer, venison)', 'Mature and hard cheese', 'Poultry']",85.0,51.43,9.05,56.6
90,Three Finger Jack Cabernet Sauvignon 2019,4.1,2367,19.99,United States / California / Central Valley / Lodi,Delicato,Californian Cabernet Sauvignon,15.0,100 Cabernet Sauvignon,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",83.95,49.1,15.45,40.97
91,Diamond Collection Cabernet Sauvignon 2018,3.8,4872,16.99,United States / California,Francis Ford Coppola Winery,Californian Cabernet Sauvignon,13.5,100 Cabernet Sauvignon,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,50.96,7.13,48.52
92,Sonoma Coast Pinot Noir 2019,4.0,2587,26.99,United States / California / North Coast / Sonoma County / Sonoma Coast,La Crema,Californian Pinot Noir,13.5,100 Pinot Noir,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",40.69,18.7,5.37,52.46
93,White 2018,4.0,29,34.94,United States / California / North Coast / Napa County / Napa Valley / Oakville,POP 300,Napa Valley Chardonnay,13.79454297,,"['Pork', 'Rich fish (salmon, tuna etc)', 'Vegetarian', 'Poultry']",85.0,46.29526972,18.96,47.2
94,Essential Red 2018,3.9,1312,14.99,United States / California,Bogle,Californian Red Blend,14.5,100 Shiraz/Syrah,"['Beef', 'Lamb', 'Veal', 'Poultry']",85.0,52.24,12.42,64.12
95,Copperhead Cabernet Sauvignon 2019,4.2,39,39.99,United States / California / North Coast / Napa County / Napa Valley,Thurlow Cellars,Napa Valley Cabernet Sauvignon,13.79454297,,"['Beef', 'Lamb', 'Game (deer, venison)', 'Mature and hard cheese', 'Poultry']",85.0,50.32,2.07,55.79
96,Santa Rita Hills Pinot Noir 2020,4.1,153,29.99,United States / California / Central Coast / Santa Barbara County / Sta. Rita Hills,Fess Parker,Californian Pinot Noir,13.5,100 Pinot Noir,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",42.68,21.57,4.12,54.15
97,Reposado Barbera 2017,3.8,78,19.99,United States / California / Sierra Foothills / Amador County,Borjón,,13.79454297,,[],61.73,46.29526972,9.05,53.555
98,Petite Sirah 2018,3.9,48,22.99,United States / California / Central Coast / San Luis Obispo County / Paso Robles,San Simeon Wines,Californian Petite Sirah,13.79454297,,"['Beef', 'Lamb', 'Game (deer, venison)']",78.84,84.9,13.84,54.85
99,Chardonnay Katherine's Vineyard 2019,3.8,537,16.99,United States / California / Central Coast / Santa Barbara County / Santa Maria Valley,Cambria,Californian Chardonnay,14.1,100 Chardonnay,"['Pork', 'Rich fish (salmon, tuna etc)', 'Vegetarian', 'Poultry']",83.59,46.29526972,32.74,48.94
100,Huntington Pinot Noir 2017,4.0,382,29.0,United States / California / Central Coast / Santa Barbara County,Pali Wine Co.,Californian Pinot Noir,14.5,100 Pinot Noir,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",44.75,20.93,9.09,52.14
101,M100 Cabernet Sauvignon 2020,3.9,40,26.99,United States / Washington / Columbia Valley,Fidélitas,Washington State Cabernet Sauvignon,13.79454297,,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",66.91,75.27,1.44,67.05
102,Russian River Valley Pinot Noir 2019,4.0,157,29.0,United States / California / North Coast / Sonoma County / Russian River Valley,DeLoach,Californian Pinot Noir,14.5,100 Pinot Noir,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",41.67,20.41,8.52,53.81
103,Claret 2013,4.1,149,38.95,United States / Washington / Columbia Valley,Matthews,Washington State Red Blend,14.7,"57 Cabernet Sauvignon, 26 Cabernet Franc, 11 Merlot, 3 Malbec, 3 Petit Verdot","['Beef', 'Pasta', 'Veal', 'Poultry']",66.74,51.35,5.53,63.63
104,Provocateur Pinot Noir 2019,4.0,94,34.99,United States / Oregon / Willamette Valley,J.K. Carriere,Oregon Pinot Noir,12.8,100 Pinot Noir,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",23.36,22.47,9.05,67.56
105,Walking Tree Cabernet Sauvignon 2019,4.1,38,29.0,United States / California / North Coast / Sonoma County / Alexander Valley,Geyser Peak,Californian Cabernet Sauvignon,14.6,100 Cabernet Sauvignon,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",85.0,55.68,7.65,45.51
