review,talks_about
"Bare naked ladies 4th vintage (not today😂). It's hot here for mid-October, mid 80sF (30C). SB helped🥵. Structured, complex & aromatic; the vintage I've enjoyed the most so far.

Pale yellow👁, aromas of elderflower, pineapple🍍, melon, citrus zest & the barest😉 hint of green herbs.

Dry but ripe. Round & lush palate, med-full body (14%). Balanced by the crisp, med(+)acidity.

Unctuous palate of white peach🍑, quince & lychee. Vanilla & a sprinkle of white pepper mid👅. Chalky slate finish with a saline edge.",talks about taste
"Pale in the color. On the nose citrus pear peach oak tropical lemon melon pineapple cream butter green apple stone fruit honeyamazing nose. On the mouth pairs the nose has an oak, citrus, cream toasted coconut has a medium-full body for a Sauvignon Blanc, medium acidity, medium-long finish. Very good wine.",talks about taste
"This Sb thinks its a chardonnay. And its great. As a matter of fact, it is a chardonnay. Or at least a killer white bordeaux blend. Top notch somms would swear that this is a chard. Not the leafy vegetable. 

Wow. Yum. You guys do it up. Not cheap, mind you. But goooood. 

I love this. Balance balance balance.  This is delicious white wine. Ty for this",talks about taste
"Barrel fermented with lees stiring
Open quite grassy and evolves to white peach, floral (frangipani), corn and a touch of vanilla.
The palate has moderate acidity, good concentration, firm texture, a slightly warming alcohol with a touch of bitterness and good length.
This really benefits from aeration. It became a lot more aromatic and gained weight. Drinking well now, but should evolve in bottle for another 2-3years.",talks about taste
"Pale lemon in color with a youthful medium plus intensity on the nose. Citrus, oak, peach, pear, tropical fruit, melon, cream. Dry, medium plus acid, full bodied, high alcohol and medium plus intensity on the body. Long finish. Oak, cream, vanilla, citrus, lemon, tropical fruit. This wine definitely sees some oak aging and is not your NZ zippy sauv Blanc. Minerals. Outstanding quality of wine. Can drink now, suitable for aging.",talks about taste
"@[1|63584282|Abbey Weis] blinded me. Appearance: pale lemon-green, no rim variation. Nose: med intensity. White blossom, honeysuckle. Green apple, yellow apple. Something metallic. White peach, bruised apple, candied. Oil. Tropical. Palate: dry, but not exactly - heavy fruit. Medium acid. Med+ body. Luscious mouthfeel. High alcohol. Med+ flavor intensity. Minerality, white pepper or spice. Oak? Peach, banana, bitter acidity, red apple. Ripe fruits. Finish is med to med+ - Bitter acidity. Guessed NY Riesling. Good!",talks about taste
"Very elegant with Medium intensity aromas and flavors of apple, pineapple, apricot, white peach, nectarine, elderflower, brioche, clove, vanilla and smoke.
Hint of dried apricot and honey.
Very good quality, balancing aromatics with a hint of oak. Interesting style with batonnage, 18% new French oak.",talks about taste
"4.1pts.
Merry Edwards
Sauvignon Blanc 2022.
This is the first time for me to taste this beautiful Sauvignon Blanc.
Merry Edwards Winery was founded in 1997 by one of California’s first highly successful female winemakers.
The winery’s vineyards are influenced by the Pacific Ocean, cooling fog, sandy soils and other attributes that lead to the production of rich, ageable wines.
Silky smooth, bright acidity, complex and balanced.
Aroma from lemon, pineapple, lime zest, acacia, melon, vanilla and minerals.",talks about taste
Absolutely amazing Sauvignon Blanc. Fruity and very soft with mostly citrus and maybe some green apple. Very well built and équilibrated . Soft but flavorful. Pairs very well with light seafood like scallops.,talks about taste
"wonderful peach… full, sweet sauv b",talks about taste
"Buttery, pear, good amount of sweetness, refreshing, pairs well with fish ",talks about taste
All time favorite Sauvignon Blanc beautiful honeysuckle and floral notes. Can’t describe the magic on my tongue! So amazing. ,talks about taste
I got the yummy in my mouth and it’s because of you.,talks about taste
"Light, slightly dry & mildly acidic with notes of melon, peach, citrus, caramel, butter and oak",talks about taste
Tropical yet fresh. ,other
"The 2019 didn’t disappoint. Pear forward with a hint of melon, slightly citrus finish balanced perfectly with boiled lobster.",talks about taste
Beautiful wine.  Agree with WS94 notes.  ,talks about taste
Big Canyon wine tasting.  ,talks about taste
Smoky...and smooth and sultry.  Enjoy.,talks about taste
"Just a fabulous, balanced near perfect wine.",talks about taste
Omg. These grapes were pressed into service against their will.  Better than dying on the vine.,other
Its more a sauvignon than a blanc. Sophisticated and is more rounded than your average blanc. Its reaaal good. Never disappoints but its just a bit expensive for a bottle of white wine isnt it?,other
"Had at John & Gail’s, incredibly light and yummy ",talks about taste
citrus oak peach pear tropical melon,talks about taste
Soft and smooth. Not acidic.  A Sauvignon blanc for the Chardonnay lover ,talks about taste
"Pear on the nose and palette. Floral, light honey, melon, touch of butter. On the sweeter side but with crisp acidity, heavier body, almost jammy. Complex, refreshing, delightful.",talks about taste
"柑橘類 オーク 桃 洋梨 トロピカル風 メロン グレープフルーツ パイナップル
The wine is an excellent white. That's great as it is sharp and dry. That doesn't emphasize grape sweetness",talks about taste
"2019 4.5 pts No Indian barbeque is complete without this bottle. This time we pared it with light tomato-based egg curry, and it worked like a charm.",talks about taste
"Caramel, grass, butter, and citrus on the nose.  Further tastes of grapefruit, lemon, pear, and vanilla.  Very good Sauvignon blanc",talks about taste
"Clean, pure, balanced. Well-integrated fruit.  Calming nose.  Slight pepper finish.  As good as you’re going to get from a Cali White.",talks about taste
"Nice and pleasant wine. Sweeter initially then I expected, but still not overbearing and at the right moment pivots off to a crisp finish. ",talks about taste
"Beautiful, crisp White.  Similar to some of the nice Bordeaux whites.  Worth the extra money if you like a fuller body savignon blanc vs. a thinner less expensive one.",talks about value for money
"Great Wine, oak shows but not as much as a Chardonnay.  Not as crisp and acidic as typical sauvignon blanc. Would definitely buy again. ",talks about taste
"A really superior Sauvignon Blanc, rich and complex.  Pear, apple, citrus , honeydew and honey with moderate acidity.  Honey lingers on the palate. A real treat",talks about taste
"Slightly on the heavier side for a sauv blanc with a little oakiness.  Lots tropical fruit, stone fruit, some pear and a bit of citrus.  A bit of spice and vanilla.  Very smooth finish.  ",talks about taste
"Dark straw color.  Medium to full body for a Sauvignon Blanc.  Well balanced with light acidity.  Delicious grapefruit, honey, apple and ripe pineapple.  Long finish with  light minerals.",talks about taste
One of the better whites I’ve tasted in while.  Earthy and floral aroma.  Bold fruit upfront that settles into a very mince finish.  Not too sweet and not too sour!  Just right!,talks about taste
"Pale yellow with pleasing aromas of citrus and tropical fruits, adding in spice and some biscuit notes. On the palate complex palate of flavors, fresh fruit, pineapple, lemon, grapefruit, peaches and Asian pears. Slight earthiness with a smooth and creamy well balanced finish ending with a gentle yeasty character. Very nice! Consistent quality! Will age well!",talks about taste
"One of my all time fav wines - hugely tropical, with floral notes and honey dew melon. Tastes sweet but is dry. Medium body and very elegant",talks about taste
"Clear, pale lemon. Clean, medium plus intensity aroma of pineapple, honeysuckle, lemon curd. Dry, medium plus acidity, medium body and long finish.",talks about food combinations
Great sauv Blanc. Rich and fruity. Plenty of thick citrus flavor. It's velvety and buttery texture pairs nice with the deep pear and melon notes that appear at the finish. Probably the best sauv Blanc I've had. The oak is there but not overly perceptible. I'm so impressed at the balance of this wine. It doesn't do anything funky and let's you settle into a great summer day afternoon drink.,talks about taste
"2017 Vintage 
Enjoyed August 2019. 
Needed very little time to open. Quite an enjoyable Sauv Blanc. My notes are similar to those of Rocky T. Smooth, creamy, wonderful hints of citrus, melon with the addition of pear and peach flavors. Nice oak notes. I can understand if this would be too sweet or fruity for some, but I find that to be valuable to this SB, memorable, wanting more. This will be a go to for me. 
4.5-4.75",talks about taste
"Wow, this is a real treat, a beautifully balanced Cali sauvignon blanc. On the nose, there is a honeyed tropicality which partners with the usual grassy grapefruit. The palate unfolds as I taste more, with an ethereal body complementing the vibrant acidity. A finish for days. A truly lovely wine.

Thank you for the lovely gift, @[1|3969744|Carlos V]!",talks about taste
"This may be the best CA Sauvignon Blanc I’ve had. Fantastic structure though not overly acidic and slightly creamy mouthfeel. Complex wine with lingering finish. Lemon, lemon curd, floral notes. Super impressed with this wine.",talks about taste
"Great Sauvignon blanc from one of our favorite producers. Sharp and acidic with a bit more alcohol than a typical Sauvignon blanc, this is a big bold wine. Melon pear apple and other tree fruits. It’s decadent while also being crisp. A great choice on a warm summer night. Can’t wait for the next bottle of this.",talks about taste
"This is a consistently excellent Sauvignon Blanc from a steroid producer. The color is pale and straw. The nose and palate are perfectly synchronized with lovely notes of honeydew, apple, pear, and pineapple. There is none of that yucky acidic, grapefruit note that most producers are known for. The acidity is spot on. Delicious.",talks about taste
"Dominus the Palate: Dominus & Beyond wine dinner at The Oven with Roland Herman, maison marques + domaines, attended with Nat & Ellingson’s 6/19/24. Merry was one of California’s first women winemakers & hated Sauv Blanc so drinks more like a Chardonnay. 1/3 highly floral Sauvignon Musque clone from Sancerre & 2/3 Shenandoah clone with classic herbal & grassy character. 18% new pack 6mo with biweekly lees stirring. Melon, apple & hints of kiwi. Paired with Bhutanese Vege. $59",talks about taste
"One of my all time favorite Sav Blancs, beautiful floral aroma, with a mix of citrus and melon, beautifully balanced with the right crispness. Exceptional.",talks about taste
"Wow!  As a nightcap watching my Falcons !

Huge nectarine, orange peel, soft vanilla infused oak moment.  Aging has added a subtle enjoyable oxidation! Wow!!! ",talks about taste
"Absolutely amazing burst of citrus with notes of honey, apricot, and pear. Would drink again and again. Paired it with a vegetable orzo in caramelized tomato sauce with shrimp.",talks about taste
"Would have guessed it was a chard almost. Really smooth. Very different than any other sav blanc and in a good/cool way
",other
2018 vintage.  Light and clean color.  Melon notes and pepper and high powered finish.  Would buy again.,talks about taste
citrus oak peach pear tropical melon cream grapefruit lemon pineapple minerals apple apricot honeysuckle stone fruit,talks about taste
Tropical fruits.  My favorite sauv blanc.  Loses flavors if gets too warm.  Just cool it down and the flavors come back.,talks about taste
citrus oak peach pear tropical melon cream butter grapefruit lemon pineapple vanilla minerals apple honey stone green apple honeysuckle,talks about taste
"Brought this home from winery. Fresh, light, crisp but still very flavorful and well balanced. Would definitely get again.",talks about taste
"One of the best Sauvignon Blancs on this continent.  Body, balance, and depth are spot on. Flavors of citrus, tropical fruit, with good minerality and acidity.",talks about taste
"Pale green gold in the glass. Pineapple, tropical fruits on the nose with bright acidity. Green apple, stone and a lingering finish. Absolutely fantastic always.",talks about taste
Sept with the Kwon’s. Best combination of Sav Blanc and Chardonnay flavors,talks about taste
Just really good. ,talks about taste
Outstanding white. I taste citrus and peach,talks about taste
citrus oak pear grapefruit,talks about taste
grapefruit pear cream oak lime guava,talks about food combinations
"As good as a Sauvignon Blanc can get. It’s soft, crisp, and full of flavor. Highly recommend!",talks about taste
Honeysuckle floral lemon curd. Big bold flavors very light color. Super cool.,talks about taste
"One of the most unusual, unique sauvignon blancs I have ever had. It's more round, less crisp, but still refreshing. Loved it. ",other
This is an outstanding sav blanc- really enjoyed this l. Definitely will be buying more of this,talks about taste
At home:  peach cream yummy,talks about taste
"Delicious as always. Crisp green apples, melon, honey, citrus, yeast, and hay.",talks about taste
"Peach, sweet melon and vanilla ",talks about taste
Fruity - peach and pineapple,talks about taste
Nose to taste butter orchide peach taste to pallet Quincy peach pear lychi ,talks about taste
"Green apple, light stone fruits, more medium body and less crisp than the NZ offerings.  ",talks about taste
"Light, fruity, pear and caramel with a hint of oak a s cinnamon ",talks about taste
"Light, buttery Sauv Blanc. Excellent with the Sea Bass at Kaluuz",talks about taste
4.3 Sharp tarty apple with a bretty flavor and a dry viney finish.,talks about taste
Just love it,talks about taste
Excellent acidity and balance of fruit and alcohol. ,talks about taste
Smooth and fruity. Great with seafood. ,talks about taste
"Good acidity, balance, rounded body and lots of fruit. Lovely minerality, citrus and stone fruits",talks about taste
Pineapples and creamy.,talks about food combinations
Best SB in the entire New World. ,talks about value for money
Beautiful. I thought the 2018 was significantly better than the 2016. This brand went a long way to earning my trust back! Will revisit. ,talks about taste
Chef Tre dinner Oct2020,other
Nice melon wine. If you look at the label,talks about taste
"Creamy, very smooth, very low tannins , not fruit forward , lovely ",talks about taste
One of my all time favorites. ,talks about taste
One of my favorite wines. ,talks about taste
"Consistently delicious wine! Stone fruits, round mouthful, medium full body, long finish. ",talks about taste
One of my favorite whites!  Perfect for the summer ,talks about taste
"As Sauv Blancs go....THIS IS STELLER!!!!  Crisp, clean, sugar Brix balanced and worth every dime +",talks about taste
"Interesting, unusual Sauvignon Blanc. Would rather pair it with poultry than with seafood. ",other
"Super clean. Fruity, full bodied, ripe but still balanced with the acidity. Thanks Stephen ",talks about taste
"Smooth, pear, and apple notes. Just delightful ",talks about taste
"Light, great flavor",talks about taste
Delightful sauv blanc. Long and complex. ,talks about taste
Fruit with good acidity. Smooth,talks about taste
Love love love 💗 SB with a long finish and such complexity ,other
"Simply delicious summer fare.  However, similar quality available from down under for much less $. Enjoy.",talks about taste
"had the 2019. pretty solid sauv blanc— had nice balance and reasonable complexity without too many vegetal elements. got notes of carmelized pear, hay, lemongrass, and crisp green apple. some ML occurred, as i felt it on the palate and in the slight butter flavors. however, not worth $50.",talks about taste
Had in Vegas - just tasted since I ordered for everyone.  Sweeter. On the floral side.  Good for wine newbies.  Not overly complex.  Not boring though.  Fruity bouquet and pleasing to the masses. ,talks about taste
"Flavors of tropical fruit are dominant, but also melon, pear, lemon, floral honeysuckle, and definitely spent some time in oak with butter and sur lie with that creaminess.",talks about taste
"Beautiful Sauvignon Blanc with intense, ripe fruits. Citrus, mango, pineapple, balanced 
",talks about taste
Wonderful fruit forward very drinkable wine!,talks about taste
"4.7
The king of CA SB! I’ve loved the 2019 vintage from high quality producers and Merry Edwards doesn’t disappoint! Rich lemon oil, apricot, honeysuckle. Smooth like a Chablis!",talks about taste
"Medium-bodied, off-dry and aromatic, melon, peach, lemon, kumquat, vanilla, chamomile, cotton candy, white flowers, marshmallow, butter, white pepper, cream, straw, oak",talks about taste
"Smooth,  but seems sweet for a sauv blanc.  Very light lemon,  lower acidity, melon,  butter,  pineapple,  easy to drink,  chicken picatta made this taste sweet",talks about taste
Merry Edwards and happy kwanza! This bomb ass dank ass (BADA) slashes the palette with orange PEEL and lemon PITH. Don’t get your citrus anatomy twisted,talks about taste
Has a sweet note though finishes more dry. In a pinch seems okay but not my favorite!,talks about taste
Still luscious and delicious it has a great lemon Crisp pear ,talks about taste
"Floral, vanilla, melon, orange, clementine, pineapple, lychee",talks about food combinations
citrus peach pear tropical melon cream Wauv! ,talks about taste
Smooth! Surprising SB! Epic French Dinner 2023,talks about food combinations
"Interesting sauv blanc, drinks like a chardonnay",talks about taste
USeX2 tasting citrus oak peach pear tropical melon cream butter ,talks about taste
Very good. Not sure how an SB is going to rate more than 4 starts from me.  citrus tangerine,other
Apple pear mint. Easy going white. ,talks about taste
"Clean opening, slowly creamy aroma of honey appears. At Enoteca after shopping.",talks about taste
Silky smooth with a beautiful light nose. What a SB should be when it isn't a grapefruit bomb.,talks about taste
"pear
green apple
zest",talks about taste
"Red, white and blue tasting. Lightly oaked. Tropical fruit.",talks about taste
"Floral, bananas, great easy to drink",talks about taste
"Wet grass on the nose with hints of lemon, honeysuckle, and cantaloupe. Nice wine.",talks about taste
"Very well made
 citrus peach tropical pear minerals
Excellent quality to price ratio",talks about value for money
Drank Sept 2023 at California Grill: Pear and tangerine,talks about food combinations
"Phenomenal aperitif. Sour gasoline on the nose with unripe citrus fruits. Finish has medium acidity but a surprisingly subtle, creamy finish. ",talks about taste
"Incredible Sauvignon Blanc. Honeydew melon, nectarine, some hints of lime and some kind of hazelnut notes. Just really enjoyable",talks about taste
Wow! Green apple with citrus and mineral undertones with very nice balance and smoothness. Not tart at all. Will definitely stock up on for summer ,talks about taste
"CA SB probably does t get better than this. Medium bodied and elegant with lemon tart, nectarine, and tropical fruit. Pricy for SB but worth it.",talks about taste
"Wine 2...

First RR SB and what an experience.  Oak with SB, so interesting.  Complex, buttery, lemony, straight up delicious!",talks about taste
"Always top quality Sauvignon, but at a premium. Citrus on the nose leads to creamy pear, honeydew and grapefruit. Intoxicating.",talks about taste
Amazing SB. Finishes with some strong minerality with a melon ball.  Get a juicy stone fruit in there.  Not green apple.but citrus,talks about taste
"Citrus zest on nose, medium body, dry, acidic, complex palate.  Outstanding Sauvignon Blanc for a good price.  Merry Edwards rocks!  93/100.",talks about value for money
"An exquisite wine.  So much floral and fruit aromas.  Not the usual grassy nose that is common for the varietal. A very classy, elegant wine. ",other
"Beautiful as always. Perfect with so many foods, especially on Valentine's. This wine never fails to impress. Merry's  version of SB is sublime. ",talks about taste
"Golden color, nose is fruity. Just trying a small sip. Very smooth, very crisp. Beautiful notes of various apples. Absolutely delicious.",talks about taste
"Crisp green apple and pear. Picked up on some oak notes. Reminiscent of a Chardonnay. Delightful, well balanced wine that leaves you wanting more. ",talks about taste
Never thought Sauvignon Blanc could be this sophisticated. An eye opening experience and reminder of how you can be humbled. ,other
"Bright citrus scents: lemon, maybe grapefruit.  Lemon and tropical fruits--grapefruit or dragon fruit.  Crisp and brightly acidic. ",other
Best California Sauvignon Blanc.  Medium gold color Balanced with melon citrus and hint of grass  Reminds me of my favorite French Sancerre ,talks about taste
"I can't praise this one enough. Great citrus and flowery nose, and similar palate. No grassiness at all. Went very well with a scallop crudo. ",talks about taste
"Pale yellow color, lemon & honeydew on nose, fruity, peach with mineral, lovely brightness, roundness on finish, well balanced medium body white.",talks about taste
The perfect Sauvignon Blanc. A bit sweeter than traditional SB but offsets the medium-plus acidity. Dry and tart. Fan. Fukn. Tastic. ,talks about taste
Mayfair las vegas,talks about value for money
"Bright , Meyer lemon infused , smooth finish ",talks about taste
Vanilla oak lemon grass mineral peach stonefruit pineapple ,talks about taste
"Fresh and expressing
Cheers!",other
 Very crisp and delightful.  Would recommend to anyone ,talks about taste
"Fruta and floral on the nose. Balanced, complex and nice lasting.  Loved it",talks about taste
Such a great and intensive SB,talks about value for money
"Very nice with fairly bold body. Tropical fruit, definitely some butter notes and with a mineral finish.  Very nice and complex. ",talks about taste
Soft finish. Not too strong in any direction in terms of flavor profile.,talks about taste
"Smooth. Low pleasant acidity. Nice yellow color. Notes of citrus, minerals, apple, stone, a little oak. Nicely balanced and enjoyable.",talks about taste
"Subtle and refined. Papaya and brûléed grapefruit, touch of honeysuckle. Delicious. ",talks about taste
"Apple on the nose, citrus, green apple, and sherry on the palate.",talks about taste
Wow. Best Sauvignon Blanc I can remember. Really fresh melon lychee. I’ll look to buy this again. ,talks about taste
Toasty and delicious similar to a good chardonnay,talks about taste
I enjoyed this 2020 just as much as the 2018. Lovely fruit with a beautiful creamy and oily palate and a long finish.,talks about taste
"Very smooth, Melon, pear, citrus , vanilla, grapefruit. Two votes of 4.4 and 4.3. Dinner at La Gare in Santa Rosa.",talks about taste
"Consistently great. Had this at the Mazzeos’ house for a poker night in 4.28.23, with them and Janice. Great night!",other
"Top notch! Apple, pear, and lemon notes on the nose. Ripe pear flavors and slight citrus up front. Buttery and smooth with minerals and floral in the middle and end that are just right. This paired beautifully with wood-fired pizza, arugula and cauliflower. Highly recommend.",talks about taste
